x,y,z
0.473684,0.631579,0.967643
0.473684,0.684211,0.959394
0.473684,0.736842,0.950694
0.473684,0.789474,0.941942
0.473684,0.842105,0.93346
0.473684,0.894737,0.925458
0.473684,0.947368,0.91804
0.473684,1,0.911227
0.526316,0,0.988054
0.526316,0.0526316,0.992345
0.526316,0.105263,0.994326
0.526316,0.157895,0.995126
0.526316,0.210526,0.995186
0.526316,0.263158,0.994624
0.526316,0.315789,0.993366
0.526316,0.368421,0.991199
0.526316,0.421053,0.987803
0.526316,0.473684,0.982816
0.526316,0.526316,0.97594
0.526316,0.578947,0.967069
0.526316,0.631579,0.956379
0.526316,0.684211,0.944316
0.526316,0.736842,0.931485
0.526316,0.789474,0.918508
0.526316,0.842105,0.9059
0.526316,0.894737,0.894006
0.526316,0.947368,0.883005
0.526316,1,0.872939
0.578947,0,0.991333
0.578947,0.0526316,0.993921
0.578947,0.105263,0.995072
0.578947,0.157895,0.995399
0.578947,0.210526,0.99511
0.578947,0.263158,0.994182
0.578947,0.315789,0.992428
0.578947,0.368421,0.989496
0.578947,0.421053,0.984891
0.578947,0.473684,0.978044
0.578947,0.526316,0.968463
0.578947,0.578947,0.955931
0.578947,0.631579,0.940657
0.578947,0.684211,0.923277
0.578947,0.736842,0.9047
0.578947,0.789474,0.885876
0.578947,0.842105,0.867598
0.578947,0.894737,0.850407
0.578947,0.947368,0.834582
0.578947,1,0.820195
0.631579,0,0.993108
0.631579,0.0526316,0.994713
0.631579,0.105263,0.995343
0.631579,0.157895,0.995324
0.631579,0.210526,0.994711
0.631579,0.263158,0.993375
0.631579,0.315789,0.991004
0.631579,0.368421,0.987077
0.631579,0.421053,0.980868
0.631579,0.473684,0.971529
0.631579,0.526316,0.958301
0.631579,0.578947,0.940816
0.631579,0.631579,0.919342
0.631579,0.684211,0.8948
0.631579,0.736842,0.868538
0.631579,0.789474,0.841975
0.631579,0.842105,0.816293
0.631579,0.894737,0.792288
0.631579,0.947368,0.770363
0.631579,1,0.750607
0.684211,0,0.994033
0.684211,0.0526316,0.995026
0.684211,0.105263,0.995287
0.684211,0.157895,0.994967
0.684211,0.210526,0.994013
0.684211,0.263158,0.992189
0.684211,0.315789,0.989039
0.684211,0.368421,0.98383
0.684211,0.421053,0.975536
0.684211,0.473684,0.96294
0.684211,0.526316,0.944936
0.684211,0.578947,0.920975
0.684211,0.631579,0.891433
0.684211,0.684211,0.857658
0.684211,0.736842,0.821622
0.684211,0.789474,0.785381
0.684211,0.842105,0.75062
0.684211,0.894737,0.718441
0.684211,0.947368,0.689366
0.684211,1,0.663474
0.736842,0,0.994441
0.736842,0.0526316,0.995014
0.736842,0.105263,0.994975
0.736842,0.157895,0.994358
0.736842,0.210526,0.993015
0.736842,0.263158,0.990597
0.736842,0.315789,0.986477
0.736842,0.368421,0.979657
0.736842,0.421053,0.968731
0.736842,0.473684,0.952021
0.736842,0.526316,0.927995
0.736842,0.578947,0.895907
0.736842,0.631579,0.856341
0.736842,0.684211,0.811267
0.736842,0.736842,0.763507
0.736842,0.789474,0.715936
0.736842,0.842105,0.670833
0.736842,0.894737,0.629613
0.736842,0.947368,0.592875
0.736842,1,0.560616
0.789474,0,0.994505
0.789474,0.0526316,0.994755
0.789474,0.105263,0.994442
0.789474,0.157895,0.993507
0.789474,0.210526,0.991713
0.789474,0.263158,0.988583
0.789474,0.315789,0.983286
0.789474,0.368421,0.974505
0.789474,0.421053,0.960377
0.789474,0.473684,0.938672
0.789474,0.526316,0.907368
0.789474,0.578947,0.86555
0.789474,0.631579,0.81416
0.789474,0.684211,0.756036
0.789474,0.736842,0.695098
0.789474,0.789474,0.635193
0.789474,0.842105,0.579226
0.789474,0.894737,0.528865
0.789474,0.947368,0.484684
0.789474,1,0.446503
0.842105,0,0.994321
0.842105,0.0526316,0.994296
0.842105,0.105263,0.993709
0.842105,0.157895,0.992424
0.842105,0.210526,0.990112
0.842105,0.263158,0.986149
0.842105,0.315789,0.979472
0.842105,0.368421,0.968396
0.842105,0.421053,0.950532
0.842105,0.473684,0.923021
0.842105,0.526316,0.883321
0.842105,0.578947,0.83042
0.842105,0.631579,0.765825
0.842105,0.684211,0.693518
0.842105,0.736842,0.618738
0.842105,0.789474,0.546382
0.842105,0.842105,0.479925
0.842105,0.894737,0.421154
0.842105,0.947368,0.370473
0.842105,1,0.327406
0.894737,0,0.993943
0.894737,0.0526316,0.993665
0.894737,0.105263,0.992795
0.894737,0.157895,0.991127
0.894737,0.210526,0.988231
0.894737,0.263158,0.983329
0.894737,0.315789,0.975099
0.894737,0.368421,0.961448
0.894737,0.421053,0.939408
0.894737,0.473684,0.90545
0.894737,0.526316,0.856519
